Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
#0824 ERGnomes Halloween '21 Special,Soldier,Mold,Imp,Harmony $ONE,Root,4:20,Monobrow,196.7790653,f0250f9e81ad950ee4151e50528f5204c052f0abf6e702df19f442625aa18daf,679
#0819 ERGnomes Halloween '21 Special,Horny,The eggplantboy,Occultist,Black,Chicken,Iron,Angry,196.7702792,28e007309d05de54b9bffbc0c903f5169286ae2d3969a3f957e408cd01ea4fa4,680
#0285 ERGnomes Halloween '21 Special,Calm,Fairy candy,No ears,Matrix,Funkystar,Eggplant,Happy,196.4180891,8c543a1e0dfaaa67c4996e0c19c25032158104dfb5e6029c2b36d92c7433cd8e,681
#0599 ERGnomes Halloween '21 Special,Joyful,The vaporwave,Imp,Pink,Questionablestyle,Duck,Annoyed,196.2149863,cc55ac61d4965c536f706b9c6291b7b053ea86f0a38a06b5116bdafcea94dd2b,682
#1004 ERGnomes Halloween '21 Special,Fierce heart,Smurfkin,Easter bunny,Harmony $ONE,Sherlock,Toe,Thug,196.1356711,6d38767cb14c62efe8a0d05247439e750d73605b386b4af8baa5e2cd601351fe,683
#1012 ERGnomes Halloween '21 Special,Dusk lover,Radioactive bubblegum,Pumpkin,Bitcoin $BTC,Punk,Toe,Annoyed,195.6377762,8b1ca3ded9df638f7bbb9ed0f426eef9d268cef4650fb94c4342196f58e5f0d1,684
#0312 ERGnomes Halloween '21 Special,Night watch,Kawaii,Easter bunny,Dollars $,Octopus,Clown,Angry,195.5659058,2956d7dd3c49b3fdf38495de2e4a849a04fe1c0e4c7c1236dc907654b6880b45,685
#0333 ERGnomes Halloween '21 Special,Fancy,The magical,Easter bunny,Bitcoin $BTC,Punk,Duck,Confused,195.5261481,651d7343828838371da36cd9d91f04d0801085e6fe32b4392f8efc2fdc470910,686
#1161 ERGnomes Halloween '21 Special,Ranger,The magical,Cocker spaniel,White,Devil,Hook,Monobrow,195.5022034,f47e330a6090c68b620e2f195965c524529785cc7aa48ef9edc3a31a5c765555,687
#1214 ERGnomes Halloween '21 Special,Soldier,Potion blue,Pumpkin,Lucky,Root,Duck,Thug,195.4242926,a377568d7208ea0fe22103d98e1a993932a91ded354bc4757b1b4dd402763cb7,688
#1152 ERGnomes Halloween '21 Special,Thinker,Radioactive bubblegum,Infested,White,Sherlock,Toe,Annoyed,195.3577492,fbf451ba905fe058d4c2d2e31d7762f9808b60d0fc49736fdffc8c93641dd8ac,689
#0844 ERGnomes Halloween '21 Special,Fierce heart,Fairy candy,Occultist,Blockchain,Root,Pig,Chill,195.3392183,220a22516462435a8db96eee9dfbd7081f013167ec143c099339915c22971e46,690
#1255 ERGnomes Halloween '21 Special,Dusk lover,Fake gold,Pumpkin,Tears,Chicken,Starfish,Thug,194.3765756,bf4878ab0f11f16bbb927aaed14b3c5aaa43cc358ce082c99e1918d70f6d96bd,691
#0463 ERGnomes Halloween '21 Special,Art lover,Charcoal,Easter bunny,Ergo $ERG,Octopus,Pig,Surprised,194.0979699,fafb1c0c0a73f89b6d8c2b536fefea5b461ae89af186c71399c7f67f53da67eb,692
#0099 ERGnomes Halloween '21 Special,Fancy,The fairy,Dark robot,Pink,Chicken,Starfish,Confused,193.9580036,65f03226fc10d90c7dbd84b88779c4cb33ca58d9b411219c6ea55b3eaa248540,693
#1125 ERGnomes Halloween '21 Special,Relaxed,Rotten veggies,Infested,Moon,Circus,Starfish,Monobrow,193.8097695,1a5d7fcd23f809e294778fbcb29603198c0a2fa8cf7c5cff2a7daf09a5aa79b0,694
#0174 ERGnomes Halloween '21 Special,Depressed,Just white,Monkey,Tears,Questionablestyle,Eggplant,Annoyed,193.7908795,d64532a3e79497893b429aa148ae73fe451c5e1b2d2de82072b866a9bbc088d8,695
#0221 ERGnomes Halloween '21 Special,Goodboi,The popart,Pumpkin,Tears,Nerd,Eggplant,Angry,193.6363977,e93a8ef4a478e936ed6a230aca7d0b297f4441104f28f70b3e07fb1e88bcefc7,696
#1095 ERGnomes Halloween '21 Special,Karen,The magical,Spirit,Dollars $,Questionablestyle,Eggplant,Surprised,193.6180666,04230255bfda1635afcd23b4844aa9bdce236b34a40ebd897c910bdd6271aca8,697
#0760 ERGnomes Halloween '21 Special,Loud,Dying pepper,Pumpkin,Peace,Circus,Cat,Thug,193.5769725,e47a463dd53b6c9d3531a57e92d59739b36b7c02e0d6e8d47a8058ee2bba829d,698
#0757 ERGnomes Halloween '21 Special,Fancy,The sunset,Easter bunny,Drowsy,Octopus,Starfish,Surprised,193.1715979,7cd0ccd937a55adf2471613ec9e4fca646c2c64558ce60bebfaf76d25aa9190f,699
#1083 ERGnomes Halloween '21 Special,Relaxed,The raging pumpkin,Pumpkin,Rude,Punk,Toe,Surprised,193.0632325,df578d1b19bd68dd6eb8d750f58ba2ecf56214073c6d1f5d248d2e5b86bc6951,700
#0447 ERGnomes Halloween '21 Special,Karen,Smurfkin,Dark robot,Cat,Root,Disguise,Happy,192.9546158,26a207649c8fdf6866a28ce4083155bdb9ccb13b60e6b4279bae797128b30524,701
#0110 ERGnomes Halloween '21 Special,Karen,Fairy bubblegum,Infested,Dizzy,Chicken,4:20,Thug,192.7301877,4322dfa70631a31ab3e9f5047442bb4772d6216db8c9bfb043275d0010b3256f,702
#0881 ERGnomes Halloween '21 Special,Ranger,Kawaii,No ears,Naughty,Devil,Clown,Chill,192.6383735,6032475f6b0ac6116258f4f3d61aa5438e46337a50d9048f66d871810be4f8c6,703
#1346 ERGnomes Halloween '21 Special,Horny,Horny teen,Easter bunny,Tears,Chicken,Cat,Angry,192.6167294,440cef410724c25b41b3a72708f7e3dbaf251fd3468b30556ceb260c6672e504,704
#1094 ERGnomes Halloween '21 Special,Horny,Fake gold,Occultist,Tears,Circus,Starfish,Chill,192.5010631,519d65c2b7d745f41343c91017024664dcca98a508382577a94a32e195970172,705
#0586 ERGnomes Halloween '21 Special,Amiable,The lemonboy,Human,Dollars $,Sherlock,Pig,Happy,192.3519078,de7b6769e02d756072fafa593433f0b6aecd399721ab54cfc922ea4d35e9f908,706
#1088 ERGnomes Halloween '21 Special,Smelly,Fake gold,Easter bunny,Moon,Octopus,Eggplant,Happy,192.183283,38a5c938c1bab8fba779af469512b1310f9d63769cbeb74069d71426d35d11c0,707
#1401 ERGnomes Halloween '21 Special,Soldier,Just white,Pumpkin,Tears,Devil,Clown,Thug,192.0830987,69e65f6fbc7ce7390c0162e44e4cde8b4028f5b68a4f93bbe46c57e713799e04,708
#0751 ERGnomes Halloween '21 Special,Calm,Angry aunt,Dark robot,Tears,Devil,Iron,Thug,191.8959953,0976f5940df4db705b803d9079b3782f9835c48552f430e733d01935c24803ed,709
#0633 ERGnomes Halloween '21 Special,Horny,Classic,Fairy nymnph,Fire,Questionablestyle,Carrot,Thug,191.6258672,b9093004b6c1e8487a0529fe73710c16776a26e308d6f9e18e404d7e9ac574c6,710
#0769 ERGnomes Halloween '21 Special,Non conforming,English tan,Pumpkin,Ergo $ERG,Circus,Clown,Annoyed,191.5038206,3d43749626c366dd5900ad03089737772bbd312439fb4132281cf2b18a6733b7,711
#0784 ERGnomes Halloween '21 Special,Radioactive,Mold,Pumpkin,Dizzy,Sherlock,4:20,Angry,191.4420194,2e8dff865ff947d7190d452340a1fcbcc0199ea3264ffc1a6733c679d5097047,712
#1018 ERGnomes Halloween '21 Special,Soldier,Charcoal,Pumpkin,Flowers,Octopus,Cat,Thug,191.3618256,af00c7054dc28ba6a5f0d569d4e069c61a7b8e053bfb8ee3bb3aca2dfd32dc8b,713
#1136 ERGnomes Halloween '21 Special,Feisty,Charcoal,Imp,Baby,Nerd,Toe,Monobrow,191.3564121,5de850d52aebcd7c17a4bb730ab54e9ce41f42ba7196599fc868f9757aa53784,714
#1459 ERGnomes Halloween '21 Special,Smelly,Potion blue,Occultist,Lucky,Questionablestyle,Iron,Monobrow,191.3316993,d2c76198f830cd64fb3d64175a0db89db05270663bd0196fd65a0e036353ef51,715
#0617 ERGnomes Halloween '21 Special,Horny,Sad red,Imp,Arcane,Questionablestyle,Disguise,Angry,191.1988353,8dd125d1f8bd5f6d9dd68bdcb127ce4d20f1e205d7e6b8b176242cf6e80d5f44,716
#1173 ERGnomes Halloween '21 Special,Radioactive,English tan,Easter bunny,Drowsy,Nerd,Duck,Worried,191.1280999,90ee665529db4a7409e725ff193c86adbae87ecdb32961e0035be090a5185a0e,717
#0512 ERGnomes Halloween '21 Special,Soldier,Just white,Infested,Yellow,Sherlock,Carrot,Thug,191.0959885,3da0cc3731a3d81bcd3438f1454a8602d6bfb9570e3c2f4484382f2227146be3,718
#0493 ERGnomes Halloween '21 Special,Calm,Rotten veggies,Monkey,Lucky,Funkystar,Pig,Monobrow,190.9894886,ed65138b06a0951087056941ea3bb68a4d5545299ff6854440476da1bb338a32,719
#0816 ERGnomes Halloween '21 Special,Night watch,Horny teen,Imp,Drowsy,Root,Starfish,Confused,190.9597781,e4c51f3daaf31b1a31cec0a4c5b4b37185bfa0577bf9a171d81eb244a72f9b52,720
#1134 ERGnomes Halloween '21 Special,Night watch,Just white,Pumpkin,Water,Root,Eggplant,Happy,190.7093522,538156b132c14ee910c4680595718e4ce52ef7821c5c4e53fc662dbc079361bf,721
#1150 ERGnomes Halloween '21 Special,Art lover,Dying pepper,Imp,Tears,Circus,Toe,Happy,190.5159202,f07552d58ba1e8310e552b43c26bdeb22a933ccee9e761aa8b5ea4f70d3afec8,722
#0466 ERGnomes Halloween '21 Special,Depressed,Classic,Cocker spaniel,Spiderling,Sherlock,Toe,Angry,190.4061785,01ba7712531153e9d9d4c247ffe59575617d0f30c54590bb7316cbaa140b7c02,723
#0576 ERGnomes Halloween '21 Special,Goodboi,Charcoal,Spirit,Flowers,Questionablestyle,Starfish,Chill,190.3870945,9f8961c31a774632afe5fb371381b9cf7ebfbd7ea8197dd3d77da14e41d31125,724
#0280 ERGnomes Halloween '21 Special,Sweet,Choking person,Occultist,Flowers,Octopus,Pig,Annoyed,190.228344,5af72d53ccab26400daec375ba648cd611ffe158c91720c2bcae65c609286025,725
#0893 ERGnomes Halloween '21 Special,Dusk lover,Unripe lemon,Human,Rude,Punk,4:20,Thug,189.8687158,6b992a21fbb7cf37ace9effb817e9691fe05a72d910fc7d824f5ec4fc2a5f20b,726
#1030 ERGnomes Halloween '21 Special,Karen,Choking person,No ears,Naughty,Devil,Clown,Chill,189.8540081,fce82d2bf414b68ed7f55f892a556c28435b5410449bfcbb234338f3b7dbcfd4,727
#0778 ERGnomes Halloween '21 Special,Ranger,Fairy bubblegum,Cocker spaniel,Tears,Chicken,Eggplant,Surprised,189.7835873,8640e543be16e27ff39960dfcd0de8ee66b7dd06f466d1d79cc26eb5871f876f,728
#0667 ERGnomes Halloween '21 Special,Relaxed,The magical,Occultist,Hearts,Octopus,Iron,Surprised,189.6963217,914c117c43548344677ababbca0b0990719fedebc9bc614e748579508c6adb87,729
#0393 ERGnomes Halloween '21 Special,Joyful,The popart,Pumpkin,Harmony $ONE,Questionablestyle,Toe,Chill,189.6511719,d9948ca2099733e406ea726e58b1dbd1201a6d325ae3b2b892efdc388650d13f,730
#0749 ERGnomes Halloween '21 Special,Queen,The eggplantboy,Fairy nymnph,Lucky,Sherlock,Pig,Monobrow,189.5973317,d38ac656229213c119339488fa41c71aaf5d04845344e0ae2bb852b8f49bc2ad,731
#0874 ERGnomes Halloween '21 Special,Charmer,Fairy bubblegum,Pumpkin,Matrix,Nerd,Clown,Angry,189.5756738,bd4e01843b869ab9feec62d8a2fabcca3558752d065434b139fce690b763a07a,732
#1384 ERGnomes Halloween '21 Special,Joyful,English tan,Easter bunny,Tears,Punk,Duck,Thug,189.4955413,4638a34ca382746cb001e43a4e4b3fd48f1db31e3e058aea1fc4215be06597e1,733
#1273 ERGnomes Halloween '21 Special,Radioactive,The popart,Monkey,Dizzy,Devil,Eggplant,Chill,189.1401806,fbcbc8b54fc850f1380d0b6981d5b7444d1beebb259487522f36946fc1f809e4,734
#1432 ERGnomes Halloween '21 Special,Soldier,Just white,Occultist,Bitcoin $BTC,Punk,Toe,Happy,188.6309873,3d11eb421c1b7a7142922d117065c4ec9dda89b74a0b4653ccafdc0f84d2947c,735
#1260 ERGnomes Halloween '21 Special,Sweet,The popart,No ears,Harmony $ONE,Nerd,Pig,Surprised,188.2613148,560d625d66320b5d8b629b9dec5c354e5efbceba2591aacdbeadd4b84f647f6d,736
#0981 ERGnomes Halloween '21 Special,Fierce heart,Mold,Cocker spaniel,Flowers,Sherlock,Pig,Thug,188.2159409,2c9d9f0803df504a7d5fc8a2392c6f1ee2e3e3ac08dadc84bd9f4eb7cafec273,737
#0913 ERGnomes Halloween '21 Special,Ranger,Fairy candy,No ears,Lucky,Punk,Toe,Angry,188.0895916,227587dd71902e00f95356d48e5c6b221357b8b808aec82c12bee187d75de534,738
#0678 ERGnomes Halloween '21 Special,Easily excitable,Fake gold,No ears,Cat,Nerd,Cat,Angry,187.9622478,cf59046f5b271ca2ba86512108ec8a4a363df93623e84e0de70d4468dccc09e6,739
#0405 ERGnomes Halloween '21 Special,Charmer,The raging pumpkin,Human,White,Chicken,Carrot,Angry,187.9369372,0ed363901c16f53fe01b816f352764df0f679a4938a647396337eff3c927352b,740
#0674 ERGnomes Halloween '21 Special,Queen,Kawaii,Monkey,Moon,Chicken,Iron,Annoyed,187.9104545,20546f46a7516e8c3d0e47f4e341237ae56b2e1069d542a0d89439e4bd595fce,741
#0963 ERGnomes Halloween '21 Special,Depressed,Mold,Imp,KO,Circus,4:20,Annoyed,187.8700377,2303575b218c14d2db7098528ea7248fa0c860f4a361ca7bc70b3f82e28a5959,742
#0541 ERGnomes Halloween '21 Special,Calm,Charcoal,Imp,Pink,Circus,Toe,Happy,187.7572995,963c9fbfe45ee56ef705b1635776e28e9c8c5f2df07eeec272f6e234d9051a06,743
#0098 ERGnomes Halloween '21 Special,Thinker,Dying pepper,Dark robot,Harmony $ONE,Circus,Starfish,Thug,187.6018365,3b4fbe3925bbe1bdb3be2990eab985248bdd8c9d4d014fa0287ea6221baf2e31,744
#0687 ERGnomes Halloween '21 Special,Calm,Unripe lemon,Dark robot,White,Root,Disguise,Thug,187.3538616,78266ff617754a1ce64af8f2dcce9b3c822aea03af2248743aa0dead9f0f0985,745
#0698 ERGnomes Halloween '21 Special,Art lover,Dying pepper,No ears,Blockchain,Nerd,Clown,Worried,187.1776158,c9fc9286f709c9f39b9af541d6d5d6eef8a96d38663c69f55522584ba87ff301,746
#0574 ERGnomes Halloween '21 Special,Horny,Charcoal,Cocker spaniel,Arcane,Root,Starfish,Surprised,186.9645861,49bccf4f79bbc79b87805c44cea62f9e5fce42eaec3483c05138d9a82ff82b5c,747
#1086 ERGnomes Halloween '21 Special,Dusk lover,Angry aunt,Spirit,Ergo $ERG,Questionablestyle,Hook,Happy,186.9600471,5b3d0fbbb998b2417828bbd2067bf3827b1f4fd3313b75f224adf09cf21ec514,748
#0474 ERGnomes Halloween '21 Special,Night watch,Flashy Sandra,Easter bunny,Harmony $ONE,Punk,Clown,Happy,186.9424174,7543a43f3a07ebef3d3290dd514bc11a9b6f1047ced1b2aa3be892ff79ac4e00,749
#1229 ERGnomes Halloween '21 Special,Soldier,The popart,Monkey,Dizzy,Questionablestyle,Toe,Annoyed,186.9320375,8341c9342dc4f2861a653de8be2dfb0d0c27001e6aa0da40bed4890110982abd,750
#0634 ERGnomes Halloween '21 Special,Soldier,English tan,Fairy nymnph,Cat,Devil,4:20,Annoyed,186.9204499,871624aee13ac4e395408f302425cb8bc993b3ab46fda9b331416afee7fc4d43,751
#0868 ERGnomes Halloween '21 Special,Fierce heart,Dying pepper,Cocker spaniel,Dizzy,Questionablestyle,4:20,Happy,186.892892,f4f2b6d6f966cf7146a9114b1bafba2d5b98b066ddaaf43827951a47e42987dc,752
#1308 ERGnomes Halloween '21 Special,Horny,Charcoal,Fairy nymnph,Water,Questionablestyle,Cat,Angry,186.3940538,26c3ad939ea69148602d1bbcd27f5ade971769ec6446deaaf9540742df64d2a2,753
#0823 ERGnomes Halloween '21 Special,Charmer,The popart,Infested,Black,Sherlock,Eggplant,Surprised,186.3405816,f448f46e81f6a51f51c789c07c79ab338facf26363afc2d622a234d1a42bb9c1,754
#1111 ERGnomes Halloween '21 Special,Fierce heart,Choking person,Easter bunny,Ergo $ERG,Root,Hook,Happy,186.1417647,2169e6894ffc5cd1fce29a6928e9223a39df6988e503298167c66726aec03f87,755
#1066 ERGnomes Halloween '21 Special,Smelly,The eggplantboy,No ears,Hearts,Nerd,Iron,Monobrow,186.1134454,f1ea8d20cc97d4f54cd968484a9cc80f69ecff4e9073760205030ae0ea827a8d,756
#1199 ERGnomes Halloween '21 Special,Radioactive,English tan,Easter bunny,Baby,Questionablestyle,Starfish,Surprised,186.0752592,f86fe76476fed97f88986cb996f3d6bb1d111e9c9eae80993133b35dcbbadf02,757
#1163 ERGnomes Halloween '21 Special,Dusk lover,Potion blue,Occultist,Flowers,Circus,Toe,Thug,185.9351698,a89b183e7867e919abf7c6db672b42900c43c73c1eb37727e70b2febe4c717e4,758
#0662 ERGnomes Halloween '21 Special,Fancy,Kawaii,No ears,Naughty,Punk,Toe,Chill,185.9239139,04886bab518a1641848c69d1c3aff097f91ba28dc80e30fb72d5e75b5fc3f451,759
#1056 ERGnomes Halloween '21 Special,Radioactive,Just white,Fairy nymnph,Rude,Chicken,Clown,Chill,185.7891461,1636d5ca51246827bbaa9b178cd20a46e250c92617ab425988513fd0aa63c8d6,760
#1242 ERGnomes Halloween '21 Special,Thinker,The eggplantboy,Cocker spaniel,White,Questionablestyle,Pig,Angry,185.6268332,c0b4d9e6a4d82323df11b4750b71cfd77af2eefdd2b77ea7fa50b070647eae5b,761
#1174 ERGnomes Halloween '21 Special,Loud,Radioactive bubblegum,Imp,Tears,Circus,Hook,Happy,185.6241453,09f9d0df4d34e1bcc7cc464fbc030455029fa7ede9a358cda89c9ae71c1a7003,762
#1123 ERGnomes Halloween '21 Special,Thinker,Unripe lemon,Human,Lucky,Root,Duck,Surprised,185.2518707,90c4275414c8bbd04b708b11a5bd173a7b100186c95d40e2dfa07532b860044e,763
#0677 ERGnomes Halloween '21 Special,Soldier,Rotten veggies,Spirit,Ergo $ERG,Sherlock,Hook,Surprised,185.1999846,d9c376c3cf45f01f1f0a6b02852c831630c94201ce295eb82a5f9d6a18c8d856,764
#0160 ERGnomes Halloween '21 Special,Goodboi,Radioactive bubblegum,Infested,Rude,Sherlock,Cat,Thug,185.1436076,4454823fbcf4cf91f085702402b5f39925acca222d2d78123fe9bc2193472d07,765
#0654 ERGnomes Halloween '21 Special,Cute,Flashy Sandra,Fairy nymnph,Tears,Punk,4:20,Monobrow,185.1022192,a52adbd8e8eb33ffa5fcf04295b9f5010ec8ac9b86f0f88331aca1eb28c91dcc,766
#1400 ERGnomes Halloween '21 Special,Art lover,Angry aunt,Monkey,Blockchain,Circus,Duck,Angry,185.0553013,a3f34dfeac0c14e7b209ec7c7883625d4922494c61bd1b6a934c1e7aff5edf50,767
#0971 ERGnomes Halloween '21 Special,Fancy,The popart,Infested,Cat,Devil,Duck,Annoyed,184.8020946,85ee2ac1df7a3f39480bc5fb79c07ae2feb04f71abcedf5b7067994ad7a4c504,768
#0789 ERGnomes Halloween '21 Special,Radioactive,Charcoal,No ears,Cat,Circus,Carrot,Angry,184.6346447,d54ad508f142ff4059b74f0427de274a8b775fcb64d12cc40f5001e1208cb578,769
#1048 ERGnomes Halloween '21 Special,Cute,Fairy bubblegum,Human,Lucky,Devil,Iron,Chill,184.3589877,b067970f0b299106f1885283a30f253580c3476540743a2d15bb0f7c67518ce9,770
#1172 ERGnomes Halloween '21 Special,Fierce heart,Mold,Imp,Hearts,Chicken,Clown,Chill,184.1197303,f0a7bfe12733a5f4a3e2220731776828cd8daca32d6afb29f882efc1ccc2fbb5,771
#0395 ERGnomes Halloween '21 Special,Goodboi,Kawaii,Pumpkin,Naughty,Punk,Iron,Surprised,184.091371,8d6d3ec39a52490dcd000e44661b885a2006361295dda92ad5ac792a12437be0,772
#0839 ERGnomes Halloween '21 Special,Relaxed,Potion blue,Imp,Blockchain,Nerd,4:20,Annoyed,184.0889522,39ab6fe9674e504655454948c937c79401d95886f29ae79cbb238440ab2c663c,773
#1080 ERGnomes Halloween '21 Special,Night watch,Potion blue,Cocker spaniel,Pink,Questionablestyle,Clown,Thug,183.8465103,e873fdefd937f662eb4fe47c1f64046de9b976fc78627bf3f6c27439964f86f9,774
#0990 ERGnomes Halloween '21 Special,Ranger,Sad red,Human,Matrix,Sherlock,Cat,Monobrow,183.714733,850f5d144ced4a9903b6326365b8da89ed87e21f1c7c25395a81f33a3e461178,775
#0659 ERGnomes Halloween '21 Special,Smelly,Angry aunt,Infested,Wavy,Octopus,Disguise,Monobrow,183.7000255,802218d958494edfb2fbb4b46bb64d141b3f454069eae336c3653e1296effe0b,776
#1120 ERGnomes Halloween '21 Special,Dusk lover,Radioactive bubblegum,Human,White,Nerd,Duck,Surprised,183.1757019,8394af34158c6082cf36dc60cc5867125d4502141adc4eaeda4ee8ab7b3d4bac,777
#1294 ERGnomes Halloween '21 Special,Loud,The popart,Pumpkin,Yellow,Devil,Clown,Angry,183.0095826,abf2ded4e2df14b20b44a842d1ab383c938cb4eb38cd58e7fe65aa3c548b2de1,778
#0467 ERGnomes Halloween '21 Special,Fancy,Just white,Spirit,Yellow,Root,Carrot,Thug,182.8499095,4b44d6656f93dd748d4fba373828c4b5c3a15e111a7024ef2cc0891061444f05,779
#1050 ERGnomes Halloween '21 Special,Charmer,Fake gold,Spirit,Fire,Punk,Starfish,Angry,182.7223069,094107215e701f8a7bb4bbfd216562c625c909bdea94a854bd9bd5a21a86289b,780
#0932 ERGnomes Halloween '21 Special,Charmer,The fairy,Easter bunny,Rude,Nerd,4:20,Worried,182.6067966,8234c0cad62e914f58e718d3dbee55acd159e57ba55d1a01b9c6a8c3b19cb60a,781
#0637 ERGnomes Halloween '21 Special,Depressed,Fake gold,Imp,Naughty,Questionablestyle,Clown,Monobrow,182.5164178,c88bd37cea23f58cf1cb7055248c843475124642ffad5e759a770a92a6f96ba5,782
#1244 ERGnomes Halloween '21 Special,Soldier,Charcoal,Human,Arcane,Nerd,Cat,Annoyed,182.5157512,4dd5878a897545bea831ba45406e79088b464a66723cc15bf9b0d8319aa06e88,783
#0813 ERGnomes Halloween '21 Special,Cute,Dying pepper,Spirit,KO,Questionablestyle,Carrot,Chill,182.4582679,35b4b36368e05aa0b7f9f23805e731331ce950caf7a5cebf135e048e3c79fe64,784
#0153 ERGnomes Halloween '21 Special,Horny,Unripe lemon,Human,Cardano $ADA,Devil,Duck,Chill,182.4339182,5c34838115cbf6558e3900ba1a12ef59ab71a2a9b50f862b1c901e3ab25629dc,785
#1098 ERGnomes Halloween '21 Special,Art lover,Fairy bubblegum,Easter bunny,White,Sherlock,Pig,Worried,182.2760729,05026ddd55932f90c108dc2fabb425d9638c0237371004fb82019d0f0479c64c,786
#0367 ERGnomes Halloween '21 Special,Ranger,Classic,Human,Blockchain,Circus,Eggplant,Confused,182.2614069,75ac9bf6fa511b4f4e7e5fd9bd97e9926ef95e3dca61ccbb1fb0b66098dad00c,787
#0622 ERGnomes Halloween '21 Special,Soldier,Fake gold,Pumpkin,Harmony $ONE,Sherlock,4:20,Monobrow,182.1974871,6af776c02f1824807e0a890d2c72c4010ed12312e17482248a2af0f1c4aec0a9,788
#1547 ERGnomes Halloween '21 Special,Fancy,Just white,Occultist,Cardano $ADA,Sherlock,Duck,Thug,182.1861353,9fc72d1c5b3be06e64aca9853282dcf49bb74e4b8ec94b09b6f5e99c517c54c7,789
#0854 ERGnomes Halloween '21 Special,Calm,Smurfkin,Infested,Fire,Questionablestyle,Toe,Angry,181.7908903,0bcf406311621cbb0c7d139a36f8e8c959e078620e679130b38c9b48abdf5dd1,790
#0344 ERGnomes Halloween '21 Special,Goodboi,Smurfkin,Imp,Tears,Octopus,Toe,Happy,181.78785,93063b329f3f5fbdb59b7d4015885221908179674bda6cb217c49ddf33bb8348,791
#0958 ERGnomes Halloween '21 Special,Calm,The fairy,Spirit,White,Chicken,Eggplant,Angry,181.4192882,d72027a671629943f4182be2a27099cf992f72ddbe229ca2ba503eb065427e96,792
#0715 ERGnomes Halloween '21 Special,Art lover,Unripe lemon,No ears,White,Octopus,Hook,Confused,181.3793066,e0e2958884a0371876b7c52fbc4620d3e43eb2eb03efb7cdf72847befdf3f1b9,793
#1263 ERGnomes Halloween '21 Special,Relaxed,Just white,Human,Cardano $ADA,Octopus,Iron,Surprised,181.3586593,2c8ba05f317885bc14cef32e039a3c79828ec491dfb825ee29bae14d62028a2d,794
#1116 ERGnomes Halloween '21 Special,Art lover,Smurfkin,Monkey,Flowers,Punk,Toe,Worried,181.3171141,1c34b625f86785b270ca44ec9f9493e21bdadfb506a77c04ad048ee6c017bf0e,795
#1618 ERGnomes Halloween '21 Special,Sweet,Just white,Fairy nymnph,Cardano $ADA,Chicken,Starfish,Annoyed,181.2113415,55ee54b937e330a928f69b9cf524620a820ac6ac1b0bbdeb9b4773779349b468,796
#1300 ERGnomes Halloween '21 Special,Queen,The popart,Human,White,Octopus,Eggplant,Angry,180.2554031,f89f3ca125a7b509c11e184a8788b21dc27c473c36bf81e767f6c78b19f28413,797
#0679 ERGnomes Halloween '21 Special,Karen,Radioactive bubblegum,Dark robot,Dollars $,Devil,Toe,Happy,180.2178542,73808a947933612897a6ee581cc2b1ef3c8721fb8ea9a15baea37cbec2a2994a,798
#1423 ERGnomes Halloween '21 Special,Feisty,English tan,No ears,Cardano $ADA,Root,Eggplant,Angry,180.1060183,e1f565dce912c63078f47c064ab99dae5a3cd5809cb1a9f7e9c55491f6f208b7,799
#0329 ERGnomes Halloween '21 Special,Radioactive,Mold,Fairy nymnph,Bitcoin $BTC,Devil,Cat,Surprised,180.0601919,ecabc8254cdfd78240f94d60c0ced5020d9b2b1c4b80c51df5836c8766a2987f,800
#0705 ERGnomes Halloween '21 Special,Fierce heart,Fairy bubblegum,No ears,Drowsy,Devil,Toe,Confused,179.9484018,644c651aa52199054a54636fc9bf2c05f843e698f7ef22b92221837d2af2c6fa,801
#1181 ERGnomes Halloween '21 Special,Karen,The eggplantboy,Occultist,Yellow,Sherlock,Iron,Worried,179.7568688,b8860271c50150f1bdde27562af2b1cf69ebb4049a2136741ca261dd0d287e07,802
#0864 ERGnomes Halloween '21 Special,Smelly,The fairy,Pumpkin,Pink,Nerd,Starfish,Confused,179.6871487,fa85b86e16f08ea42844f7d4ed39c23bb4333860716197c9a60025e835fd7ad2,803
#1347 ERGnomes Halloween '21 Special,Horny,Rotten veggies,Fairy nymnph,Cardano $ADA,Root,Toe,Thug,179.472181,dd88dfc1a1cd1608e56b2286e768073a82f6b7badf5b64d80721ab4296c7dff2,804
#1073 ERGnomes Halloween '21 Special,Karen,The magical,Infested,Water,Nerd,Iron,Surprised,179.2390065,3b80d224b07ed9d621e2da49fbb0e5052e6cb4001df25496c3158abc6c1f45da,805
#0838 ERGnomes Halloween '21 Special,Radioactive,Dying pepper,Occultist,Dizzy,Questionablestyle,4:20,Annoyed,179.0294284,cdffb128ba47fbaaf8789a71c01d0bcfb083243eae66e4a76e08d94d8b9e5ee1,806
#0476 ERGnomes Halloween '21 Special,Depressed,English tan,No ears,Cat,Root,Iron,Surprised,178.7516658,02c047d1e975b48d419bea39547d279f23d1e478cc2554c8680c16c384f35244,807
#1337 ERGnomes Halloween '21 Special,Dusk lover,Rotten veggies,Cocker spaniel,Yellow,Devil,Clown,Worried,178.7050538,0186153d21a64ae63c84221b84e2b08f3bb97be679bda4f2b24ba402ed6ca75b,808
